source,time_seconds,strength
full_piece,326.911987,0.732443
full_piece,327.743988,0.445559
full_piece,328.575989,0.582590
full_piece,329.418671,0.726182
full_piece,330.239990,0.375455
full_piece,331.082672,0.308886
full_piece,331.903992,0.206091
full_piece,332.735992,0.215542
full_piece,333.578674,0.692050
full_piece,334.410675,0.006357
full_piece,335.242676,0.383476
full_piece,336.906677,0.513975
full_piece,337.749329,0.177233
full_piece,340.245331,0.587270
full_piece,341.077332,0.273262
full_piece,341.909332,0.488954
full_piece,343.584015,0.385887
full_piece,345.237335,0.254471
full_piece,346.069336,0.638416
full_piece,346.911987,0.341110
full_piece,348.575989,0.612049
full_piece,349.407990,0.302542
full_piece,351.071991,0.118557
full_piece,352.735992,0.164196
full_piece,353.578674,0.544039
full_piece,355.242676,0.439200
full_piece,356.074677,0.010574
full_piece,356.906677,0.165611
full_piece,357.738678,0.227437
full_piece,358.570679,0.604707
full_piece,360.245331,0.173213
full_piece,361.066681,0.012520
full_piece,361.503998,0.143889
full_piece,362.741333,0.199563
full_piece,363.573334,0.387458
full_piece,365.237335,0.279167
full_piece,366.069336,0.323695
full_piece,367.743988,0.234002
full_piece,368.575989,0.087665
full_piece,369.407990,0.214305
full_piece,371.071991,0.414823
full_piece,371.903992,0.018988
full_piece,373.567993,0.121977
full_piece,373.994659,0.104101
full_piece,374.410675,0.018763
full_piece,374.837341,0.017153
full_piece,376.074677,0.486175
full_piece,376.501343,0.070152
full_piece,377.738678,0.196651
full_piece,378.570679,0.608961
full_piece,378.997345,0.150737
full_piece,379.829346,0.000000
full_piece,381.077332,0.094524
full_piece,381.909332,0.135232
full_piece,382.325348,0.000000
full_piece,383.573334,0.321853
full_piece,384.405334,0.123727
full_piece,384.832001,0.010539
full_piece,385.664001,0.000000
full_piece,386.506653,0.021450
full_piece,387.743988,0.291040
full_piece,388.575989,0.432153
full_piece,389.407990,0.128303
full_piece,390.239990,0.000000
full_piece,391.071991,0.476920
full_piece,391.903992,0.149257
full_piece,392.330658,0.095427
full_piece,393.578674,0.469555
full_piece,394.410675,0.279950
full_piece,396.074677,0.000000
full_piece,396.906677,0.174705
full_piece,398.570679,0.248939
full_piece,399.402679,0.048883
full_piece,401.077332,0.014722
full_piece,401.920013,0.037168
full_piece,403.573334,0.086645
full_piece,405.247986,0.095684
full_piece,406.069336,0.028124
full_piece,406.911987,0.000000
full_piece,407.743988,0.041125
full_piece,408.575989,0.262160
full_piece,409.407990,0.199444
full_piece,410.250671,0.193843
full_piece,411.071991,0.082067
full_piece,412.735992,0.000000
full_piece,413.578674,0.230520
full_piece,414.410675,0.024755
full_piece,415.242676,0.131787
full_piece,416.074677,0.219488
full_piece,417.738678,0.165716
final_who_are_we,315.242676,0.825403
final_who_are_we,316.074677,0.891430
final_who_are_we,316.917328,1.000000
final_who_are_we,317.738678,0.482908
final_who_are_we,318.570679,0.735802
final_who_are_we,319.413330,0.910993
final_who_are_we,320.245331,1.000000
final_who_are_we,321.077332,0.836681
final_who_are_we,321.909332,0.886485
final_who_are_we,322.741333,0.810792
final_who_are_we,323.573334,1.000000
final_who_are_we,324.415985,1.000000
final_who_are_we,325.237335,0.308171
final_who_are_we,326.069336,0.470907
final_who_are_we,326.911987,1.000000
final_who_are_we,327.743988,0.844204
final_who_are_we,328.575989,0.954902
final_who_are_we,329.418671,1.000000
final_who_are_we,330.239990,0.787570
final_who_are_we,331.082672,0.733794
final_who_are_we,331.903992,0.650752
final_who_are_we,332.735992,0.658387
final_who_are_we,333.578674,1.000000
final_who_are_we,334.410675,0.489400
final_who_are_we,335.242676,0.794051
final_who_are_we,336.074677,0.232505
final_who_are_we,336.906677,0.899473
final_who_are_we,337.749329,0.627440
final_who_are_we,338.581329,0.380225
final_who_are_we,339.402679,0.149546
final_who_are_we,340.245331,0.958683
final_who_are_we,341.077332,0.705016
final_who_are_we,341.909332,0.879259
final_who_are_we,342.741333,0.348649
final_who_are_we,343.584015,0.795998
final_who_are_we,344.405334,0.234612
final_who_are_we,345.237335,0.689835
final_who_are_we,346.069336,1.000000
final_who_are_we,346.911987,0.759826
final_who_are_we,347.743988,0.215352
final_who_are_we,348.575989,0.978700
final_who_are_we,349.407990,0.728669
final_who_are_we,350.250671,0.305518
final_who_are_we,351.071991,0.580039
final_who_are_we,351.903992,0.244616
final_who_are_we,352.735992,0.616908
final_who_are_we,353.578674,0.923759
final_who_are_we,354.410675,0.134585
final_who_are_we,355.242676,0.839066
final_who_are_we,356.074677,0.492806
final_who_are_we,356.906677,0.618051
final_who_are_we,357.600006,0.062254
final_who_are_we,358.335999,0.000000
final_who_are_we,359.018677,0.011660
final_who_are_we,359.722656,0.027296
final_who_are_we,360.511993,0.000000
final_who_are_we,361.194672,0.073359
final_who_are_we,361.845337,0.098558
final_who_are_we,362.517334,0.095366
final_who_are_we,363.242676,0.037046
final_who_are_we,363.946655,0.000000
final_who_are_we,364.661346,0.000000
final_who_are_we,365.471985,0.000000
final_who_are_we,366.506653,0.051538
final_who_are_we,367.743988,0.673300
final_who_are_we,368.575989,0.555084
final_who_are_we,369.407990,0.657388
final_who_are_we,370.079987,0.006175
final_who_are_we,370.730652,0.000000
final_who_are_we,371.381348,0.052585
final_who_are_we,372.032013,0.038288
final_who_are_we,372.682678,0.044187
final_who_are_we,373.354675,0.083896
final_who_are_we,374.069336,0.053518
final_who_are_we,374.741333,0.096379
final_who_are_we,375.391998,0.090378
final_who_are_we,376.074677,0.877015
final_who_are_we,376.853333,0.009251
final_who_are_we,377.738678,0.643127
final_who_are_we,378.570679,0.976206
final_who_are_we,379.402679,0.033123
final_who_are_we,380.245331,0.161488
final_who_are_we,380.959991,0.022547
final_who_are_we,381.653320,0.012519
final_who_are_we,382.325348,0.470891
final_who_are_we,383.018677,0.045237
final_who_are_we,383.743988,0.158213
final_who_are_we,384.405334,0.584215
final_who_are_we,385.237335,0.374524
final_who_are_we,385.888000,0.041016
final_who_are_we,386.613342,0.083180
final_who_are_we,387.264008,0.087743
final_who_are_we,387.925323,0.009368
final_who_are_we,388.575989,0.833373
final_who_are_we,389.237335,0.000000
final_who_are_we,390.144012,0.000000
final_who_are_we,390.944000,0.010469
final_who_are_we,391.712006,0.043185
final_who_are_we,392.735992,0.077495
final_who_are_we,393.386658,0.039427
final_who_are_we,394.069336,0.071442
final_who_are_we,394.773346,0.025258
final_who_are_we,395.669342,0.401089
final_who_are_we,396.341339,0.101513
final_who_are_we,397.066681,0.040353
final_who_are_we,397.738678,0.225519
final_who_are_we,398.399994,0.111080
final_who_are_we,399.050659,0.050294
final_who_are_we,399.765320,0.004759
final_who_are_we,400.725342,0.000000
final_who_are_we,401.621338,0.000000
final_who_are_we,402.570679,0.023884
final_who_are_we,403.573334,0.554259
final_who_are_we,404.245331,0.000000
final_who_are_we,404.949341,0.000000
final_who_are_we,405.898682,0.017462
final_who_are_we,406.602661,0.018013
final_who_are_we,407.264008,0.055513
final_who_are_we,407.936005,0.001896
final_who_are_we,408.842682,0.000000
final_who_are_we,409.514679,0.000120
final_who_are_we,410.186676,0.131110
final_who_are_we,410.880005,0.001725
final_who_are_we,411.530670,0.043684
final_who_are_we,412.191986,0.000000
final_who_are_we,412.874664,0.009264
final_who_are_we,413.578674,0.670487
final_who_are_we,414.410675,0.504262
final_who_are_we,415.242676,0.590727
final_who_are_we,416.074677,0.661575
final_who_are_we,416.906677,0.350550
final_who_are_we,417.642670,0.000000
final_who_are_we,418.581329,0.163303
final_who_are_we,419.402679,0.152544
final_who_are_we,420.245331,0.277019
final_who_are_we,421.077332,0.147786
final_who_are_we,421.909332,0.156003
final_who_are_we,422.741333,0.252739
final_who_are_we,423.573334,0.138921
final_who_are_we,424.405334,0.095621
final_who_are_we,425.237335,0.050216
