event_id,measure,position,variant,channel_mode,sample,source_start_ms,source_end_ms,duration_ms,fade_in_ms,fade_out_ms,timing_rule,timing_note
24,24,2-of-4,alto,right,available-sounds/electronics-event-clips/alto/electronics-event-024-alto.mp3,64265.0,68970.941,4705.941,20.0,2352.941,event_to_next_event_plus_four_beats,musicxml_tempo_encoded
24,24,2-of-4,tenor_bass,mono_sum,available-sounds/electronics-event-clips/tenor-bass/electronics-event-024-tenor-bass.mp3,64265.0,68970.941,4705.941,20.0,2352.941,event_to_next_event_plus_four_beats,musicxml_tempo_encoded
25,25,2-of-4,soprano,left,available-sounds/electronics-event-clips/soprano/electronics-event-025-soprano.mp3,66618.0,74264.941,7646.941,20.0,2352.941,event_to_next_event_plus_four_beats,musicxml_tempo_encoded
25,25,2-of-4,alto,right,available-sounds/electronics-event-clips/alto/electronics-event-025-alto.mp3,66618.0,74264.941,7646.941,20.0,2352.941,event_to_next_event_plus_four_beats,musicxml_tempo_encoded
25,25,2-of-4,tenor_bass,mono_sum,available-sounds/electronics-event-clips/tenor-bass/electronics-event-025-tenor-bass.mp3,66618.0,74264.941,7646.941,20.0,2352.941,event_to_next_event_plus_four_beats,musicxml_tempo_encoded
26,27,3-of-4,soprano,left,available-sounds/electronics-event-clips/soprano/electronics-event-026-soprano.mp3,71912.0,76617.941,4705.941,20.0,2352.941,event_to_next_event_plus_four_beats,musicxml_tempo_encoded
26,27,3-of-4,alto,right,available-sounds/electronics-event-clips/alto/electronics-event-026-alto.mp3,71912.0,76617.941,4705.941,20.0,2352.941,event_to_next_event_plus_four_beats,musicxml_tempo_encoded
26,27,3-of-4,tenor_bass,mono_sum,available-sounds/electronics-event-clips/tenor-bass/electronics-event-026-tenor-bass.mp3,71912.0,76617.941,4705.941,20.0,2352.941,event_to_next_event_plus_four_beats,musicxml_tempo_encoded
27,28,3-of-4,soprano,left,available-sounds/electronics-event-clips/soprano/electronics-event-027-soprano.mp3,74265.0,84877.333,10612.333,20.0,3333.333,event_to_next_event_plus_four_beats,musicxml_tempo_encoded
27,28,3-of-4,alto,right,available-sounds/electronics-event-clips/alto/electronics-event-027-alto.mp3,74265.0,84877.333,10612.333,20.0,3333.333,event_to_next_event_plus_four_beats,musicxml_tempo_encoded
27,28,3-of-4,tenor_bass,mono_sum,available-sounds/electronics-event-clips/tenor-bass/electronics-event-027-tenor-bass.mp3,74265.0,84877.333,10612.333,20.0,3333.333,event_to_next_event_plus_four_beats,musicxml_tempo_encoded
28,31,1+1/2-of-4,soprano,left,available-sounds/electronics-event-clips/soprano/electronics-event-028-soprano.mp3,81544.0,89044.333,7500.333,20.0,3333.333,event_to_next_event_plus_four_beats,musicxml_tempo_encoded
28,31,1+1/2-of-4,alto,right,available-sounds/electronics-event-clips/alto/electronics-event-028-alto.mp3,81544.0,89044.333,7500.333,20.0,3333.333,event_to_next_event_plus_four_beats,musicxml_tempo_encoded
28,31,1+1/2-of-4,tenor_bass,mono_sum,available-sounds/electronics-event-clips/tenor-bass/electronics-event-028-tenor-bass.mp3,81544.0,89044.333,7500.333,20.0,3333.333,event_to_next_event_plus_four_beats,musicxml_tempo_encoded
29,32,2+1/2-of-3,soprano,left,available-sounds/electronics-event-clips/soprano/electronics-event-029-soprano.mp3,85711.0,89877.333,4166.333,20.0,3333.333,event_to_next_event_plus_four_beats,musicxml_tempo_encoded
29,32,2+1/2-of-3,alto,right,available-sounds/electronics-event-clips/alto/electronics-event-029-alto.mp3,85711.0,89877.333,4166.333,20.0,3333.333,event_to_next_event_plus_four_beats,musicxml_tempo_encoded
